Lab_variables
Geodesic_dist
CFT_capacity
KG_capacity
dest_z
dest_x
src_z
src_x
creation_age
dest_y
Dispatchedhour_continous
src_y
Dispatchedday_continous
Dispatchedday
Dispatchedmonth_continous
Dispatchedhour
Dispatchedmonth
Dispatchedweekday
Dispatchedweekday_continous
LoadingTime
Dispatchedyear_continous
Dispatchedyear
holi
