Num_Var
CFT_capacity
KG_capacity
Geodesic_dist
creation_age
src_x
src_y
src_z
dest_x
dest_y
dest_z
Dispatchedmonth_continous
Dispatchedyear_continous
Dispatchedhour_continous
Dispatchedweekday_continous
Dispatchedday_continous
